Date,SrcIP,DstIP,TotalFlowDuration,TotalFwdPkts,Count,AvgFlowDuration,StdFlowDuration,AvgFwdPkts,StdFwdPkts
2022-11-30,13.225.31.129,192.168.20.48,3713,8,3,18144.0,24578.121429433944,10.0,4.358898943540674
2022-12-03,13.225.31.129,192.168.20.48,4196,7,3,18144.0,24578.121429433944,10.0,4.358898943540674
2022-12-04,13.225.31.129,192.168.20.48,46523,15,3,18144.0,24578.121429433944,10.0,4.358898943540674
